               Sayac              X              Y               Deger
                 309             51             10                   1
                 485             99             11                   1
                 503            117             11                   1
                 538             24             12                   1
                 625            111             12                   1
                 661             19             13                   1
                 849             79             14                   1
                 880            110             14                   1
                 890            120             14                   1
                 901              3             15                   1
                 938             40             15                   1
                 983             85             15                   1
                 995             97             15                   1
                1032              6             16                   1
                1046             20             16                   1
                1049             23             16                   1
                1075             49             16                   1
                1111             85             16                   1
                1144            118             16                   1
                1174             20             17                   1
                1201             47             17                   1
                1224             70             17                   1
                1239             85             17                   1
                1248             94             17                   1
                1260            106             17                   1
                1267            113             17                   1
                1397            115             18                   1
                1412              2             19                   1
                1421             11             19                   1
                1442             32             19                   1
                1451             41             19                   1
                1456             46             19                   1
                1458             48             19                   1
                1470             60             19                   1
                1488             78             19                   1
                1501             91             19                   1
                1516            106             19                   1
                1559             21             20                   1
                1600             62             20                   1
                1604             66             20                   1
                1612             74             20                   1
                1615             77             20                   1
                1687             21             21                   1
                1704             38             21                   1
                1722             56             21                   1
                1766            100             21                   1
                1785            119             21                   1
                1836             42             22                   1
                1874             80             22                   1
                1894            100             22                   1
                1896            102             22                   1
                1915            121             22                   1
                1934             12             23                   1
                1968             46             23                   1
                2013             91             23                   1
                2016             94             23                   1
                2054              4             24                   1
                2064             14             24                   1
                2071             21             24                   1
                2074             24             24                   1
                2083             33             24                   1
                2096             46             24                   1
                2102             52             24                   1
                2111             61             24                   1
                2134             84             24                   1
                2141             91             24                   1
                2162            112             24                   1
                2184              6             25                   1
                2199             21             25                   1
                2255             77             25                   1
                2259             81             25                   1
                2276             98             25                   1
                2282            104             25                   1
                2340             34             26                   1
                2349             43             26                   1
                2350             44             26                   1
                2352             46             26                   1
                2376             70             26                   1
                2392             86             26                   1
                2404             98             26                   1
                2410            104             26                   1
                2433            127             26                   1
                2483             49             27                   1
                2503             69             27                   1
                2511             77             27                   1
                2538            104             27                   1
                2563              1             28                   1
                2579             17             28                   1
                2590             28             28                   1
                2612             50             28                   1
                2621             59             28                   1
                2658             96             28                   1
                2664            102             28                   1
                2666            104             28                   1
                2669            107             28                   1
                2673            111             28                   1
                2677            115             28                   1
                2721             31             29                   1
                2723             33             29                   1
                2748             58             29                   1
                2789             99             29                   1
                2791            101             29                   1
                2802            112             29                   1
                2814            124             29                   1
                2820              2             30                   1
                2829             11             30                   1
                2839             21             30                   1
                2854             36             30                   1
                2894             76             30                   1
                2896             78             30                   1
                2901             83             30                   1
                2909             91             30                   1
                2916             98             30                   1
                2948              2             31                   1
                2968             22             31                   1
                3010             64             31                   1
                3033             87             31                   1
                3035             89             31                   1
                3040             94             31                   1
                3042             96             31                   1
                3055            109             31                   1
                3063            117             31                   1
                3065            119             31                   1
                3074              0             32                   1
                3081              7             32                   1
                3082              8             32                   1
                3096             22             32                   1
                3108             34             32                   1
                3121             47             32                   1
