               Sayac              X              Y               Deger
                 649             67             21                   1
                1048            103             76                   1
                1191             60             96                   1
                1204            126             78                   1
                1241             94             65                   1
                1255             64             50                   1
                1314              5              6                   1
                1356              3             77                   1
                1366             57             39                   1
                1403             42             57                   1
                1418             64             67                   1
                1432             87             78                   1
                1463            118             88                   1
                1501             73            113                   1
                1520             55              5                   1
                1539             33              3                   1
                1654             76             58                   1
                1694             58             51                   1
                1702             51            121                   1
                1712             71             26                   1
                1735              7             74                   1
                1768             79             35                   1
                1771             98             95                   1
                1861              4             90                   1
                1959             84             91                   1
                1993              7             35                   1
                2024              9             90                   1
                2027             55             74                   1
                2035             82            118                   1
                2088             16             34                   1
                2125             24             64                   1
                2184             61             26                   1
                2212             63             27                   1
                2213            110             14                   1
                2229             67             75                   1
                2231            119             21                   1
                2248             22             52                   1
                2250            105              2                   1
                2251            103             41                   1
                2298             40             58                   1
                2324            101             83                   1
                2325             86             50                   1
                2356             12             23                   1
                2409             42             51                   1
                2451             45             75                   1
                2564             64             72                   1
                2571             21             20                   1
                2594             89            122                   1
                2612              2             99                   1
                2616             48             58                   1
                2636             95             36                   1
                2650              2            106                   1
                2674             88             65                   1
                2838             97             42                   1
                2849            126             30                   1
                2897             68             10                   1
                2929             84             56                   1
                2934             63             21                   1
                2949             61             33                   1
                2954             78             74                   1
                2979             79             14                   1
                3035             38             88                   1
                3043             19             61                   1
                3058             75             94                   1
                3089             27            102                   1
                3106             73             63                   1
                3117             37             45                   1
                3122             50             47                   1
                3153             28             13                   1
                3163            106            120                   1
                3191            106            110                   1
                3207             21             65                   1
                3239             48             95                   1
                3242             10             26                   1
                3316              7            125                   1
                3354             51             11                   1
                3372             94             23                   1
                3443              9            117                   1
                3448              4             36                   1
                3450             70             40                   1
                3454             55            103                   1
                3463             85              1                   1
                3466            113            110                   1
                3492            117              7                   1
                3494             68              3                   1
                3497            112             42                   1
                3505             74             98                   1
                3576            113             91                   1
                3603            116            107                   1
                3612             74            125                   1
                3614             61            100                   1
                3625             15             66                   1
                3639             25             62                   1
                3649            103            124                   1
                3690             78             30                   1
                3693            109             80                   1
                3749            106             21                   1
                3752            105             32                   1
                3768             35              7                   1
                3799             82             66                   1
                3847             14             24                   1
                3856             55             97                   1
                3911             62            113                   1
                3936             21             78                   1
                3940             57             91                   1
                3944            108              4                   1
                3958             48            109                   1
                3972             45              3                   1
                3976             17             60                   1
                3979            121             61                   1
                3987             85              9                   1
                3998             26             13                   1
                4063             91             24                   1
                4069             76            107                   1
                4075             61             57                   1
                4142            120             17                   1
                4146             29             44                   1
                4149             70             92                   1
                4200            104             94                   1
                4202              4             30                   1
                4207             83             82                   1
                4217            106            123                   1
                4223              4            101                   1
                4228             34            115                   1
                4235             92             69                   1
                4237            120            123                   1
                4249            121             21                   1
                4259            106             48                   1
                4262            107             59                   1
                4263             26             20                   1
                4267             41             75                   1
                4277             62             50                   1
                4291             37              7                   1
                4294             18            118                   1
                4319             57             23                   1
                4330             94             17                   1
                4345             82             13                   1
                4369              6            115                   1
                4370             85             56                   1
                4375             56             97                   1
                4377             40             80                   1
                4383            122             10                   1
                4386             25             89                   1
                4396             83             76                   1
                4397             49             53                   1
                4401              2             19                   1
                4409             40            103                   1
                4415             87             80                   1
                4420             21              3                   1
                4437             37             27                   1
                4466             37             37                   1
                4495            103            109                   1
                4503             96              3                   1
                4510             47             64                   1
                4514            125             44                   1
                4571            108            124                   1
                4573             69              3                   1
                4578             44             20                   1
                4585             36             91                   1
                4601             39             23                   1
                4614             76             30                   1
                4656             44            101                   1
                4694             78             28                   1
                4714              8             94                   1
                4727             48             19                   1
                4762             31            113                   1
                4774            112            113                   1
                4783             81             42                   1
                4800             56             77                   1
                4824            116             83                   1
                4868             46             89                   1
                4874            101             99                   1
                4898             67             63                   1
                4905             79             79                   1
                4924             59             79                   1
                4931             81            113                   1
                4963             63              5                   1
                4974             15            121                   1
                4977             73            100                   1
                4980             10             86                   1
